title,reference_number,ministry,closing_date,sector,estimated_value_inr,location_state,contract_type
[IX-16014/05/25-Admn],[2025_DARE_886146_1],"Department of Agricultural Research and Education||Indian Council of Agricultural Research,DoARE,MoA||Central Institute for Women in Agriculture||Administration-CIWA - DoARE",29-Nov-2025 10:00 AM,,,,
[VIII.11014/8813/28 Sect/26 COBs/Engr-2025/07],[2025_ARMHA_884953_1],Assam Rifles - MHA||Engineer Branch - AR - MHA,29-Nov-2025 10:00 AM,Other,,All India,
[VIII.11014/8814/28 Sect/26 COBs/Engr-2025/08],[ VIII.11014/8814/28 Sect/26 COBs/Engr-2025/08][2025_ARMHA_884957_1],Assam Rifles - MHA||Engineer Branch - AR - MHA,29-Nov-2025 10:00 AM,Other,,All India,
"[Supply, Installation and Commissioning of Single Cell Library Preparation Platform ]",[IITDH/MMD/BSBE/PAC/25-26/04][2025_IITDW_886528_1],Indian institute of Technology - Dharwad,29-Nov-2025 10:15 AM,Other,,All India,
[TENDER FOR SUPPLY INSTALLATION AND COMMISSIONING OF PENETROMETER],[IITDH/PAC/MMD/CIE/2025-26/07][2025_IITDW_886373_1],Indian institute of Technology - Dharwad,29-Nov-2025 10:15 AM,Other,,All India,Works
[SUPPLY INSTALLATION AND COMMISSIONING OF CAROUSEL REACTION STATION],[IITDH/PAC/MMD/CHEM/2025-26/03][2025_IITDW_886006_1],Indian institute of Technology - Dharwad,29-Nov-2025 10:15 AM,,,,
[CONTRACT FOR CONSTRUCTION OF NEW WELFARE BUILDING FOR BRIQUETTE FIRED BOILER PLANT AT RCF THAL FACTORY AT RCF THAL UNIT],[TH/CC/86416/25/D24-03(i)/291][2025_RCFL_878253_2],"Rashtriya Chemicals and Fertilizers Ltd.||IT,RCFLTD,MCF",29-Nov-2025 10:30 AM,Other,,All India,Works
[P/f of moisture removing devices at different places at IISER Mohali],[IISERM/EE/25-26/Tender-26][2025_IISRM_885871_1],Indian Institute of Science Education and Research - Mohali,29-Nov-2025 11:00 AM,,,,
[Operation and Maintenance of Electrical Installations in Government Buildings and Pump House at Shivni River 2025 to 26 under the Charge of TCS BSF Hazaribag  ],[11/EE E/TCS/HBAG/2025 26][2025_BSF_886701_1],"DG,BSF,MHA||TC and S(Hazaribag),BSF,MHA",29-Nov-2025 11:00 AM,,,,
[VIII.11014/8878/10 Sect /26 COBs/Engr-2025/02],[2025_ARMHA_884864_1],Assam Rifles - MHA||Engineer Branch - AR - MHA,29-Nov-2025 11:00 AM,,,,
